text_left,corpus,collection,hit_text,last_index,text_right,docpid,end_time,begin_time,hit_pos,hit_phonetic,first_index,hit_lemma
komt a aan informatie over,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,113,studiehuis en we vroegen ons,fn000007,00:00:51.804,00:00:51.683,"LID(bep,stan,evon)",@t,113,het
ook bij konden zitten omdat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,133,voor ons ook belangrijk is,fn000007,00:00:56.342,00:00:56.291,"VNW(pers,pron,stan,red,3,ev,onz)",t,133,het
later gaan krijgen die uit,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,148,studiehuis komen . mm-hu .,fn000007,00:01:01.037,00:00:60.915,"LID(bep,stan,evon)",t,148,het
moet u zeggen ik heb,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,162,stuk wel gezien . ik,fn000007,00:01:06.651,00:01:06.440,"LID(bep,stan,evon)",@t,162,het
van studenten maar misschien is,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,182,zinnig dat we even met,fn000007,00:01:12.672,00:01:12.551,"VNW(pers,pron,stan,red,3,ev,onz)",@t,182,het
Broek die dat uh op,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,198,uh niveau uh van het,fn000007,00:01:16.723,00:01:16.505,"LID(bep,stan,evon)",@t,198,het
het uh niveau uh van,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,203,bureau uh co&ouml;rdineert uh contact,fn000007,00:01:19.145,00:01:19.024,"LID(bep,stan,evon)",@t,203,het
uh haken en ogen aan,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,267,uh programma zoals 't er,fn000007,00:01:44.248,00:01:43.935,"LID(bep,stan,evon)",@t,267,het
goede nota van nemen .,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,354,is inmiddels in de notulen,fn000007,00:02:14.314,00:02:14.193,"VNW(pers,pron,stan,red,3,ev,onz)",=@t,354,het
heel graag . denk dat,CGN,CGN-comp-g_discussions_debates_and_meetings_non-broadcast,het,375,belangrijk is dat u zo'n,fn000007,00:02:20.644,00:02:20.564,"VNW(pers,pron,stan,red,3,ev,onz)",@t,375,het
